Patient	Gene	ENSG.ID	logFC	logCPM	F	PValue	FDR
P1	TMOD3	ENSG00000138594.14	0.168361339	6.793033127	8.706032588	0.00724769	0.024681123
P1	S100P	ENSG00000163993.7	-1.084810818	-1.810765126	7.084609851	0.014042119	0.042548807
P1	UBE2G2	ENSG00000184787.19	0.16835484	6.341440805	9.107486235	0.006194785	0.021635223
P1	TRAPPC10	ENSG00000160218.13	0.168344969	6.280148113	11.72726185	0.002353047	0.0097181
P1	SYNRG	ENSG00000275066.5	0.168153678	6.202248198	9.575242957	0.005175337	0.018649986
P1	MIR222HG	ENSG00000270069.2	-0.248803273	8.261113898	7.080899712	0.014064152	0.042581958
P1	DUSP7	ENSG00000164086.10	-0.215026929	5.823123064	7.080867781	0.014064341	0.042581958
P1	AC009126.1	ENSG00000247121.7	-0.369131545	1.309281425	7.080799192	0.014064749	0.042581958
P1	MED1	ENSG00000125686.12	0.168056499	5.89253433	8.011796587	0.009566464	0.031086029
P1	AL355500.1	ENSG00000236303.4	-0.437223015	1.664000118	7.07998535	0.014069588	0.042584809
P1	VCAM1	ENSG00000162692.12	-0.567299726	0.481312275	7.078699924	0.014077233	0.042602051
P1	NPAS3	ENSG00000151322.20	-0.316422106	6.33898505	7.077328709	0.014085395	0.042611263
P1	PARN	ENSG00000140694.17	0.167673109	6.109003666	9.074360002	0.006274954	0.021863931
P1	SERF1A	ENSG00000172058.16	-0.738850869	-1.099899014	7.077205843	0.014086126	0.042611263
P1	MBTPS2	ENSG00000012174.12	0.167393387	5.614147415	9.279524773	0.005796168	0.020505188
P1	LINC02259	ENSG00000259783.6	-0.419199611	0.478986027	7.075608291	0.014095642	0.042623991
P1	CYP20A1	ENSG00000119004.17	0.167219502	6.000303342	8.08459853	0.009288496	0.030354272
P1	AC007383.2	ENSG00000227946.2	-0.869633386	-0.981517291	7.072468891	0.014114362	0.042673051
P1	MTHFD1L	ENSG00000120254.16	0.166987465	8.068128695	8.684088406	0.00731068	0.024853355
P1	ZBED4	ENSG00000100426.7	0.166960343	5.618871546	10.34887156	0.003870776	0.014664533
P1	FAM72A	ENSG00000196550.11	0.577324924	0.442051853	7.066260312	0.014151464	0.042767477
P1	C12orf65	ENSG00000130921.9	-0.222048941	3.297124034	7.064909344	0.014159552	0.042786003
P1	CLPTM1L	ENSG00000049656.14	0.166918639	6.389611734	8.452604759	0.008013212	0.026854522
P1		ENSG00000288690.2	0.624572012	-0.805297187	7.062285325	0.014175275	0.042821674
P1	SLC35B4	ENSG00000205060.11	0.166670549	5.53242894	9.357560199	0.005624742	0.019996835
P1	UBE2A	ENSG00000077721.16	0.166631555	5.952989669	11.22685457	0.002811237	0.011275902
P1	AC079906.1	ENSG00000274723.1	-2.221811098	-2.758889811	7.058794295	0.014196224	0.042867183
P1	CEP104	ENSG00000116198.14	-0.144996186	5.415844467	7.057472461	0.014204165	0.042885237
P1	ZNF226	ENSG00000167380.17	-0.186424543	3.814503389	7.054960915	0.014219267	0.042924902
P1	PRKACA	ENSG00000072062.15	-0.282387914	5.977088787	7.053348964	0.014228969	0.042948258
P1	AC126182.2	ENSG00000244441.1	1.70925506	-3.760717462	7.10717255	0.014231525	0.042950044
P1	CACUL1	ENSG00000151893.15	0.166395336	6.564813034	7.464957318	0.0119738	0.037289737
P1	PSG6	ENSG00000170848.16	-0.628564933	0.23995013	7.051158214	0.014242166	0.042966145
P1	CYP21A2	ENSG00000231852.9	-1.723793671	-3.646909225	7.05100898	0.014243065	0.042966145
P1	RPS18P12	ENSG00000230897.1	1.110145612	-2.556618598	7.050733853	0.014244724	0.042966145
P1	POM121	ENSG00000196313.13	0.166392851	6.098263836	7.147966455	0.013671711	0.041666956
P1	AK4P3	ENSG00000233381.4	-0.934419292	-1.348652965	7.037723245	0.014323397	0.043191524
P1	PLTP	ENSG00000100979.15	-0.303730224	4.317147821	7.036859904	0.014328634	0.043201357
P1	NAPG	ENSG00000134265.13	-0.157218227	5.807955519	7.035865199	0.014334672	0.043213597
P1	ACTR3	ENSG00000115091.12	0.165861999	8.690226668	7.209185718	0.013324057	0.04083233
P1	AC016907.2	ENSG00000233862.8	-1.014945917	-0.861949152	7.035012507	0.014339849	0.043217283
P1	GGNBP1	ENSG00000204188.7	-0.52801744	-0.312047685	7.028716145	0.014378144	0.043326721
P1	RFX1	ENSG00000132005.9	-0.194617389	4.396635387	7.027446522	0.014385879	0.043344055
P1		ENSG00000286099.1	1.227259818	-2.618331796	7.025130168	0.014400004	0.043380633
P1	AC005154.6	ENSG00000281039.1	-0.372880442	1.126561729	7.022639225	0.014415211	0.043420459
P1	ZNF436-AS1	ENSG00000249087.8	-0.826808401	-0.644849172	7.019749955	0.014432872	0.043467666
P1	COL2A1	ENSG00000139219.19	1.972376454	-3.315122505	7.014714043	0.014463712	0.043546326
P1	CTNNBL1	ENSG00000132792.19	0.165836695	5.705144116	10.3560149	0.003860559	0.01464105
P1	IFRD1	ENSG00000006652.15	-0.436390088	0.872093334	7.014509245	0.014464967	0.043546326
P1	VAPB	ENSG00000124164.16	0.165667798	6.389919373	10.87654325	0.003190044	0.012508695
P1	HERC6	ENSG00000138642.16	-0.431403537	2.249283902	7.006557337	0.014513818	0.043681357
P1	ACADS	ENSG00000122971.9	-0.274255402	3.042927658	7.006039314	0.014517007	0.043684938
P1	LINC01135	ENSG00000234807.8	-0.308620759	1.580163774	7.005293345	0.0145216	0.043692744
P1	ASXL2	ENSG00000143970.18	0.165242304	6.817261518	8.959929416	0.006560806	0.022681586
P1	LINC00485	ENSG00000258169.1	-1.303765953	-2.845489638	6.999425348	0.014557788	0.043789569
P1	ZNF571-AS1	ENSG00000267470.6	-0.650594076	-0.610496783	6.997823008	0.014567687	0.043811438
P1	AL591926.3	ENSG00000276412.2	-0.885792757	-1.43031077	6.997599661	0.014569067	0.043811438
P1	AC131392.1	ENSG00000198237.8	-0.430154946	1.50023785	6.993343397	0.0145954	0.043884588
P1	MPZL1	ENSG00000197965.12	0.165052695	7.815328727	7.591139297	0.011364031	0.035778199
P1	LINC01508	ENSG00000231107.2	1.41603858	-2.770247257	6.989819566	0.014617242	0.043938171
P1	EIF3A	ENSG00000107581.13	0.164848044	8.084996548	7.819817889	0.010344553	0.033136531
P1	GLRX3P2	ENSG00000216657.1	-2.482935384	-2.992347454	6.985501299	0.014644057	0.04400667
P1	LARS2	ENSG00000011376.12	0.164844823	5.491293578	10.42624784	0.003761662	0.014330639
P1	AC007773.1	ENSG00000267213.4	-0.278394127	1.866975359	6.983777067	0.014654779	0.044026784
P1	NR2C2	ENSG00000177463.16	0.164658173	6.002271578	7.105524494	0.013918628	0.042252943
P1	LINC01323	ENSG00000241636.1	-0.787141126	-0.05631368	6.982614817	0.014662012	0.044035549
P1	PRDM15	ENSG00000141956.14	0.164245281	4.383313918	8.295865656	0.008531084	0.028263662
P1	TBC1D4	ENSG00000136111.14	-0.233050532	6.246256529	6.979518206	0.014681301	0.044082224
P1	PSMD3	ENSG00000108344.15	0.163867031	6.295299628	6.677293304	0.016706605	0.049064707
P1	CAMKK2	ENSG00000110931.19	-0.206191581	6.29069784	6.975622494	0.014705607	0.044143077
P1	DNAJC3	ENSG00000102580.15	0.163695622	7.220703391	8.971629581	0.006530931	0.02259975
P1	B4GALT5	ENSG00000158470.5	0.163320862	6.835616328	9.249920403	0.005862701	0.020707044
P1	KIF3B	ENSG00000101350.8	0.162867867	6.176877413	9.469673124	0.005388145	0.019302294
P1	VPS45	ENSG00000136631.15	0.162780606	5.822577279	9.340362276	0.005662037	0.020108215
P1	WDR33	ENSG00000136709.12	0.16243884	6.513536842	7.963062275	0.009757667	0.031571218
P1	LPCAT4	ENSG00000176454.15	-0.260256539	3.799266863	6.966140047	0.014764957	0.044279368
P1	RN7SL767P	ENSG00000241529.3	-0.587152069	0.691229053	6.966102646	0.014765192	0.044279368
P1		ENSG00000287559.1	-0.534656098	0.282878522	6.962565926	0.014787396	0.044339873
P1	AC106869.1	ENSG00000234690.7	-0.448703975	0.831063263	6.962145585	0.014790038	0.04434171
P1	TNS4	ENSG00000131746.13	-0.657443548	-1.010791108	6.96126172	0.014795594	0.044352284
P1	STXBP2	ENSG00000076944.17	-0.921057136	-1.05554505	6.96074091	0.014798869	0.044356017
P1	AP3S1	ENSG00000177879.17	0.162184048	6.8339029	7.43824071	0.012107499	0.037673904
P1	ZNF426-DT	ENSG00000278611.3	-1.091711662	-2.270050938	6.954767585	0.014836488	0.044456577
P1	LCTL	ENSG00000188501.11	-0.449370961	0.674137338	6.952448161	0.014851123	0.044494332
P1	ZNF217	ENSG00000171940.14	-0.18173528	6.534823667	6.951675851	0.014856	0.044502843
P1	CAPRIN1	ENSG00000135387.21	0.161500035	8.477443172	8.358710626	0.008319134	0.027704249
P1	ATP6V0E2-AS1	ENSG00000204934.10	-0.566247967	1.156748072	6.949648607	0.01486881	0.04452901
P1	LINC00662	ENSG00000261824.8	-0.170910147	6.005644745	6.947276697	0.014883814	0.044567835
P1		ENSG00000287307.1	-2.207786573	-3.722686974	6.946443412	0.014889088	0.044577523
P1	NINL	ENSG00000101004.15	0.161480707	5.89243284	9.046895599	0.006342288	0.022025073
P1	Z98749.3	ENSG00000283900.1	-0.656334155	-0.461870526	6.943944528	0.014904919	0.044607346
P1	8-Mar	ENSG00000165406.16	0.16147844	6.125821194	8.333033025	0.008405024	0.027930293
P1	LCMT1	ENSG00000205629.12	0.161429683	4.81820375	8.09740639	0.009240523	0.030238189
P1	SEC24C	ENSG00000176986.16	0.161290498	5.984024347	7.714358413	0.010801563	0.034323781
P1	HSP90AA6P	ENSG00000181359.5	-1.109542508	-1.114703822	6.939602141	0.014932474	0.044670701
P1	RASA3	ENSG00000185989.11	0.161077363	7.208662126	7.838573141	0.010265537	0.032931687
P1	ALDH3A1	ENSG00000108602.18	-2.096229261	-2.288109767	6.933307817	0.014972514	0.044778225
P1	SLC5A10	ENSG00000154025.16	0.601768197	-0.22941046	6.932360364	0.014978551	0.044786369
P1	GAMT	ENSG00000130005.13	-0.224412582	3.532293824	6.932237305	0.014979336	0.044786369
P1	ERMAP	ENSG00000164010.15	-0.211212646	3.636649736	6.930873355	0.014988032	0.044806242
P1	TRAF5	ENSG00000082512.15	-0.192362668	5.929215351	6.929675813	0.014995673	0.044822951
P1	MCCC2	ENSG00000131844.17	0.160700021	5.392840071	8.316565921	0.00846062	0.028081291
P1	IL2RB	ENSG00000100385.14	-1.20565749	-1.670687317	6.921517434	0.015047838	0.044966576
P1	HMGXB4	ENSG00000100281.14	0.160293971	5.735568464	8.522527409	0.007793455	0.026217294
P1	FAM86B1	ENSG00000186523.15	-0.49157761	0.389196985	6.914667759	0.01509179	0.045085588
P1	IST1	ENSG00000182149.21	0.159933366	6.282287262	10.47304398	0.003697313	0.014142191
P1	MTR	ENSG00000116984.15	0.159884919	7.065564407	9.612563328	0.005102333	0.018447741
P1	CCDC157	ENSG00000187860.11	-0.355696626	0.463028724	6.906505457	0.015144351	0.045224066
P1	IMPAD1	ENSG00000104331.9	0.159686147	7.562822692	10.07622718	0.004283887	0.015949136
P1	AC018809.2	ENSG00000269982.1	-0.42889358	1.044314753	6.903613032	0.015163026	0.045267462
P1	TRBV7-9	ENSG00000278030.1	4.066116184	-3.42784995	7.145931409	0.01519241	0.045348992
P1	ZMPSTE24	ENSG00000084073.10	0.159469316	6.381033035	8.09370481	0.009254359	0.030274402
P1	MICAL3	ENSG00000243156.9	0.159269771	7.174216518	9.337872256	0.005667459	0.020121505
P1	CCDC3	ENSG00000151468.11	-0.482022016	1.102161629	6.890850345	0.015245732	0.045489517
P1	AL356010.2	ENSG00000234464.2	-1.024803436	-0.866663284	6.889579073	0.015253997	0.045507966
P1	FAF2	ENSG00000113194.13	0.158935343	6.528463597	10.67029826	0.003439056	0.013338777
P1	RNF170	ENSG00000120925.16	0.158793338	4.929342644	9.214945675	0.005942388	0.020937746
P1	RPN1	ENSG00000163902.12	0.158760129	7.784132555	7.06314192	0.01417014	0.042812079
P1	ST3GAL4	ENSG00000110080.20	0.158729172	5.489273987	7.895330334	0.010030454	0.032280665
P1	MZF1-AS1	ENSG00000267858.7	-0.48832142	0.949052547	6.882602634	0.015299445	0.045612423
P1	SUCLG1	ENSG00000163541.12	0.158574315	5.564703169	9.602807926	0.005121306	0.018501036
P1	AL121821.1	ENSG00000258636.2	-0.586184659	0.521602792	6.878829769	0.015324086	0.045673425
P1	TIPRL	ENSG00000143155.13	-0.156486777	5.477150068	6.8781915	0.015328259	0.045679633
P1	MTMR1	ENSG00000063601.17	-0.152643808	5.282197443	6.876495389	0.015339354	0.045706466
P1	PLEKHA7	ENSG00000166689.16	-0.507336967	2.974005236	6.874998625	0.015349153	0.04572339
P1	PPIL6	ENSG00000185250.16	-0.252682143	1.67220212	6.874988651	0.015349218	0.04572339
P1	AC018638.1	ENSG00000229413.2	-0.885723287	-0.050351833	6.874664897	0.015351338	0.045723474
P1	AC019330.1	ENSG00000225421.2	-0.851961437	-1.435443265	6.872624037	0.015364712	0.045757072
P1	RDM1	ENSG00000278023.7	1.114887595	-3.256312183	6.871394774	0.015372774	0.045774842
P1	AL096803.1	ENSG00000228238.1	-3.309319624	-4.289833689	6.867336124	0.015399424	0.045840604
P1	VSIG10L	ENSG00000186806.6	-0.385928258	0.858090973	6.867242668	0.015400038	0.045840604
P1	TMED8	ENSG00000100580.8	0.158428181	4.916890604	8.880566668	0.006767476	0.023300244
P1	FYTTD1	ENSG00000122068.13	0.158057749	6.310886819	8.179523387	0.008939369	0.029380277
P1	ARHGAP23	ENSG00000275832.5	-0.178660365	8.238081279	6.86015454	0.015446706	0.045957248
P1	RSPRY1	ENSG00000159579.14	0.157390064	6.135315265	7.519717983	0.011704835	0.036634809
P1	STKLD1	ENSG00000198870.8	-0.345673698	1.443976722	6.859682859	0.015449817	0.045957248
P1	RNF149	ENSG00000163162.9	0.157124275	6.045031092	10.25139525	0.004013216	0.015117692
P1	UBE2R2	ENSG00000107341.5	0.15710014	6.594966878	7.637980035	0.011146484	0.035199764
P1	MON1B	ENSG00000103111.15	-0.182359529	4.883951133	6.855570725	0.015476969	0.046022398
P1	EML2	ENSG00000125746.18	-0.186519028	3.621281387	6.854862437	0.015481651	0.04602548
P1	AC010615.4	ENSG00000269237.1	-0.43440764	0.876222435	6.854776814	0.015482217	0.04602548
P1	SUPT7L	ENSG00000119760.16	0.157039156	4.968705854	9.406476346	0.005520134	0.019707294
P1	SPG7	ENSG00000197912.16	0.156551601	6.327990938	7.519161169	0.011707536	0.036638016
P1	FTSJ1	ENSG00000068438.15	-0.189154733	5.15621459	6.850261299	0.015512104	0.046095521
P1	SNX30	ENSG00000148158.17	0.156482443	6.321361983	7.393651871	0.012334332	0.038287057
P1	DUSP11	ENSG00000144048.10	0.156352792	4.589322881	6.992219755	0.014602361	0.043899477
P1	GPRIN2	ENSG00000204175.6	3.302560251	-4.320757683	6.895638835	0.015552073	0.04619545
P1	FKBP15	ENSG00000119321.10	0.155320773	5.96042957	9.874191315	0.004621268	0.017018101
P1	SAR1A	ENSG00000079332.15	0.155244276	7.43771323	7.755832838	0.010619223	0.033854601
P1	ATIC	ENSG00000138363.15	0.154953644	5.904862976	6.688920631	0.016623184	0.048854976
P1		ENSG00000287592.1	2.26679567	-4.052908246	6.842698736	0.015562303	0.04620072
P1	LGALS9	ENSG00000168961.17	0.628445019	0.126732504	6.840353507	0.015577907	0.046240763
P1	TBCD	ENSG00000141556.22	0.154941394	6.472845518	7.319254117	0.012723357	0.039282623
P1	EGR3	ENSG00000179388.9	-0.588838459	1.032627292	6.839374397	0.015584427	0.046247554
P1	OCRL	ENSG00000122126.18	0.154015459	5.812036596	8.286669974	0.008562594	0.028337986
P1	IQGAP1	ENSG00000140575.13	0.153894214	9.107506234	6.843452677	0.015557291	0.046198799
P1	ANO8	ENSG00000074855.11	-0.213050264	3.929270122	6.825191531	0.015679206	0.046509871
P1	TCP11L1	ENSG00000176148.16	0.153875459	5.703898963	9.063230641	0.006302144	0.02192567
P1	DDHD1	ENSG00000100523.16	-0.218301614	6.10860838	6.823502332	0.015690537	0.046530852
P1	AP005209.1	ENSG00000264876.2	-3.136436252	-2.441267868	6.822269834	0.01569881	0.04654907
P1	FBLIM1	ENSG00000162458.13	-0.283644949	6.460978106	6.820982656	0.015707456	0.046568387
P1	WASH2P	ENSG00000146556.15	-0.27469642	3.599193723	6.8196112	0.015716673	0.046589394
P1	RYK	ENSG00000163785.13	0.153725813	7.198967201	7.077279868	0.014085685	0.042611263
P1	SLC22A16	ENSG00000004809.14	-2.460135988	-4.024260199	6.81558075	0.015743795	0.046657138
P1	AC093155.3	ENSG00000267561.2	-0.678498352	-0.105870819	6.814028075	0.015754258	0.046681814
P1	RHOXF1P3	ENSG00000282933.3	-0.595441287	-0.642173447	6.812643908	0.015763591	0.046703138
P1	RNU1-28P	ENSG00000206588.1	-2.066004059	-3.081159606	6.80984621	0.015782475	0.046752747
P1		ENSG00000285572.2	-0.722558166	0.343632153	6.806728096	0.015803551	0.046808837
P1	AC097359.2	ENSG00000270194.1	-0.477813524	0.70782359	6.800810801	0.015843633	0.046921198
P1	AL137058.2	ENSG00000273784.5	0.424838883	1.38117273	6.798405572	0.015859957	0.04696318
P1	BRD9	ENSG00000028310.18	0.153388189	5.383449111	7.080119747	0.014068788	0.042584809
P1	SFSWAP	ENSG00000061936.10	0.153104016	6.270489992	8.687312543	0.007301387	0.024830392
P1	LINC00345	ENSG00000235660.2	1.626387212	-2.407748384	6.793093106	0.01589608	0.047051019
P1	SLC30A9	ENSG00000014824.14	0.152954974	6.731145413	6.85970604	0.015449664	0.045957248
P1	ZNF516	ENSG00000101493.11	0.152416274	7.310195049	7.139249525	0.013722025	0.04178287
P1	FBXW5	ENSG00000159069.14	-0.217679901	6.700783127	6.787512268	0.015934126	0.047144476
P1	SAXO1	ENSG00000155875.15	0.363696977	1.480160131	6.784543648	0.015954404	0.047198086
P1	SON	ENSG00000159140.21	0.15229597	8.244821287	8.217179391	0.008804907	0.029008148
P1	SLC39A6	ENSG00000141424.13	0.152125229	6.57602469	6.653016495	0.016882282	0.049474277
P1	MAPK14	ENSG00000112062.11	0.15182862	6.894303114	7.972003481	0.009722274	0.031489332
P1	AL117335.1	ENSG00000276649.1	-0.239501007	2.075981494	6.777951483	0.015999538	0.047305994
P1	AC008147.4	ENSG00000278842.1	0.877506646	-1.419111179	6.776563356	0.01600906	0.047327745
P1	TRAF3	ENSG00000131323.16	0.151520477	6.083280445	8.382938809	0.00823898	0.027483385
P1	AC145207.9	ENSG00000278876.1	-0.920879458	-1.31787988	6.771337894	0.016044961	0.047421051
P1	HPDL	ENSG00000186603.7	0.534381427	0.11899261	6.768768898	0.016062644	0.047466894
P1	PDCD6IP	ENSG00000170248.15	0.151486119	7.740576703	7.290994197	0.012874671	0.039682529
P1	SDCCAG3	ENSG00000165689.17	-0.19800102	4.816468143	6.763044316	0.016102125	0.047570701
P1	MTMR12	ENSG00000150712.11	0.151480642	5.569595245	9.151655124	0.006089641	0.021346464
P1	COL13A1	ENSG00000197467.17	-0.518881654	5.17270046	6.761136934	0.016115304	0.047596767
P1	CYTH3	ENSG00000008256.16	0.151236733	7.513328145	6.797583799	0.015865539	0.046973344
P1	ZFX	ENSG00000005889.16	0.150663894	7.082519526	6.633156966	0.01702752	0.049826414
P1	AL606760.1	ENSG00000226754.2	-0.771525993	-1.079845317	6.756380126	0.016148222	0.047674665
P1	FOPNL	ENSG00000133393.13	0.15043558	5.09406423	7.209140095	0.013324313	0.04083233
P1	AC009108.5	ENSG00000280278.1	1.81052078	-3.610786958	6.749775917	0.016194049	0.047797046
P1	SLC36A3	ENSG00000186334.10	-1.536895265	-3.319832711	6.745254368	0.016225507	0.04788343
P1	MGA	ENSG00000174197.18	0.150271913	6.711835577	6.649591953	0.016907228	0.049540741
P1	ERP44	ENSG00000023318.9	0.149806463	6.70141181	6.973212824	0.014720664	0.044182207
P1	FGFR4	ENSG00000160867.15	1.251384015	-1.858182427	6.741945474	0.016248571	0.047932079
P1	AC009365.1	ENSG00000183470.9	-1.019062177	-2.392105525	6.741499743	0.016251681	0.047933741
P1	MON1A	ENSG00000164077.15	0.562607877	0.684281513	6.741236026	0.016253521	0.047933741
P1	SS18L1	ENSG00000184402.15	0.149503335	4.86874901	8.150967477	0.009042847	0.029689119
P1	WDR5B	ENSG00000196981.4	-0.304381304	3.080202422	6.736841417	0.01628422	0.048011319
P1	LINC02390	ENSG00000256582.1	1.257401086	-2.415863674	6.736135122	0.01628916	0.048019406
P1	RBBP5	ENSG00000117222.14	0.149441374	4.937942758	6.742753101	0.016242938	0.047921931
P1	USP10	ENSG00000103194.16	0.149367454	6.601587184	9.596592055	0.005133436	0.018538726
P1	ENOX1	ENSG00000120658.14	-0.402176269	5.530844854	6.725317327	0.016365028	0.048223548
P1	KAT7	ENSG00000136504.13	0.148863749	5.64538605	8.288441126	0.008556515	0.028324418
P1	RIC1	ENSG00000107036.12	-0.23571355	7.175387902	6.72424169	0.016372593	0.048232835
P1	SIPA1L1	ENSG00000197555.10	-0.265339609	8.32606646	6.721009136	0.016395352	0.048293371
P1	LPAR4	ENSG00000147145.14	0.755599312	-0.277577022	6.720483405	0.016399057	0.048297775
P1	AL049536.1	ENSG00000280445.1	2.579302355	-2.954365381	6.71808659	0.016415958	0.048341038
P1	ADSS	ENSG00000035687.10	0.148408778	5.796581482	7.161605162	0.013593398	0.041470868
P1		ENSG00000287539.1	-1.713915158	-3.323989272	6.715644311	0.0164332	0.048378775
P1	CLINT1	ENSG00000113282.14	0.148012033	6.952056793	7.180697752	0.013484602	0.041184944
P1	TPRXL	ENSG00000180438.15	0.677237818	-1.307251187	6.709715766	0.016475138	0.048489177
P1	ZMYND11	ENSG00000015171.20	0.14745662	7.174300793	8.553257629	0.007698985	0.02595119
P1	KDM5B	ENSG00000117139.18	0.14703982	7.175394278	8.192230443	0.008893743	0.029247915
P1	NUP88	ENSG00000108559.12	0.146930048	4.964406289	6.758367158	0.016134462	0.047646914
P1	NCBP1	ENSG00000136937.13	0.146863083	6.479842556	6.787709933	0.015932776	0.047144476
P1	MSL2	ENSG00000174579.4	0.14685213	5.85200592	9.531075389	0.005263223	0.018923015
P1	RASL10B	ENSG00000270885.2	-0.440011976	0.906944308	6.699544283	0.016547368	0.048662442
P1	LINC01788	ENSG00000229051.2	0.637371605	-0.228962982	6.693084861	0.01659342	0.048791307
P1	RPN2	ENSG00000118705.17	0.146627666	7.934205203	7.472221151	0.011937732	0.037223058
P1	EIF2S1	ENSG00000134001.15	0.146054699	6.476540161	6.688804528	0.016624014	0.048854976
P1	SUSD6	ENSG00000100647.8	0.146038463	5.876734857	6.767704092	0.01606998	0.047482152
P1	VPS35L	ENSG00000103544.16	0.145752556	6.832749437	7.808670912	0.010391834	0.033258737
P1	PRR14L	ENSG00000183530.14	0.144365236	6.571788946	8.04429082	0.009441277	0.030775325
P1	PFKFB3	ENSG00000170525.21	0.144317882	5.947902932	7.532787629	0.011641634	0.03648268
P1	NUP214	ENSG00000126883.18	0.143718114	5.750004025	7.219167268	0.013268308	0.040694939
P1	GIMD1	ENSG00000250298.6	1.091641025	-1.651243646	6.678824084	0.016695595	0.049038964
P1	MKRN1	ENSG00000133606.11	0.143500492	5.499262848	7.824520822	0.010324677	0.033091198
P1	KDM5A	ENSG00000073614.13	0.142853335	7.036853863	8.041748252	0.009451007	0.030793263
P1	RALGAPB	ENSG00000170471.15	0.142025162	7.202563442	6.788096316	0.015930139	0.047144476
P1	RFXANK	ENSG00000064490.14	-0.237597373	3.388647431	6.67026387	0.016757263	0.049193652
P1	AC010148.1	ENSG00000235726.7	0.831190404	-0.163454246	6.669719529	0.016761193	0.049198581
P1	HHEX	ENSG00000152804.11	0.763033148	-1.630873337	6.668640943	0.016768983	0.049214837
P1	ZBTB40	ENSG00000184677.18	0.141828334	5.703254428	6.702082131	0.016529313	0.048623163
P1	RAD54L2	ENSG00000164080.14	0.14152877	5.55079132	6.672644779	0.016740086	0.049149827
P1	FUBP3	ENSG00000107164.16	0.141104152	6.614507722	7.23653384	0.013171926	0.040439051
P1	ARNT	ENSG00000143437.21	0.140953417	6.307348071	8.44863463	0.008025893	0.026887479
P1	TMEM81	ENSG00000174529.7	0.457556582	0.241291556	6.658654938	0.016841298	0.049393908
P1	KRTAP4-12	ENSG00000213416.4	-1.858099209	-3.415243878	6.760964592	0.016847434	0.049405274
P1	GDF10	ENSG00000266524.3	1.664739957	-2.099345114	6.760275776	0.016852301	0.049412918
P1	TUBB2BP1	ENSG00000216819.1	-1.338366816	-3.024552304	6.656562025	0.016856498	0.049418594
P1		ENSG00000287263.2	-0.202358283	2.856768511	6.655934403	0.016861059	0.049425336
P1	VASH1	ENSG00000071246.11	-0.289412688	2.707272607	6.653864169	0.016876114	0.049462832
P1	NSD1	ENSG00000165671.22	0.140779575	7.406001931	7.938420027	0.009855953	0.031818567
P1	REST	ENSG00000084093.19	0.13917765	6.636035288	6.984765348	0.014648633	0.044014368
P1	HSD17B2	ENSG00000086696.11	-4.502278329	-4.022573836	6.878658537	0.016920219	0.049572159
P1	SERPINA1	ENSG00000197249.14	2.480324083	-3.344816944	6.646276131	0.016931422	0.049598331
P1	FITM2	ENSG00000197296.6	-0.21043639	4.115658718	6.641821411	0.016963985	0.049687062
P1	CLDN1	ENSG00000163347.6	-0.921613835	-1.261521571	6.638308056	0.016989716	0.04975576
P1	TRAPPC5	ENSG00000181029.9	-0.798458452	-0.144546283	6.637232215	0.016997604	0.049772191
P1	HNRNPUP1	ENSG00000259051.1	-1.681785926	-3.707551967	6.636819403	0.017000632	0.049774389
P1	PTPN1	ENSG00000196396.10	0.132523091	5.996925441	7.725025577	0.010754337	0.034193598
P1	QRFPR	ENSG00000186867.11	1.578639068	-3.59161748	6.737780634	0.017012125	0.049792102
P1	AC066613.2	ENSG00000259678.1	-0.672831722	-1.207027334	6.63506363	0.017013516	0.049792102
P1	RUFY1	ENSG00000176783.15	0.131911871	5.77226558	7.29969306	0.012827883	0.039571801
P1	PITPNM2	ENSG00000090975.14	-0.138122877	5.568409622	6.631897251	0.01703678	0.049846835
P1	DDX31	ENSG00000125485.18	0.131644694	5.321625606	6.892902272	0.015232401	0.045455947
P1	CCIN	ENSG00000185972.6	0.393690157	1.005057025	6.62796506	0.017065719	0.04991814
P1	NTN3	ENSG00000162068.2	-0.396254484	0.508089381	6.627491588	0.017069207	0.049921662
P1	TSC1	ENSG00000165699.15	0.126654181	6.391827679	6.740115702	0.016261341	0.047950333
P1	AC005899.8	ENSG00000279762.3	-0.691215855	-0.410912209	6.625419387	0.017084483	0.049951619
P1	SHBG	ENSG00000129214.15	-1.255782224	-1.358509737	6.625172174	0.017086306	0.049951619
P1	BEGAIN	ENSG00000183092.18	-0.528828494	0.003112528	6.624829396	0.017088835	0.04995233
P1	ALS2CR12	ENSG00000155749.13	-0.217520519	3.232723082	6.622180761	0.017108387	0.050002797
P1	AC009948.1	ENSG00000223960.8	0.184682108	3.203367086	6.621651591	0.017112297	0.050007535
P1	IGSF9	ENSG00000085552.18	1.248589018	-2.439332458	6.621172265	0.017115839	0.050011199
P1	NOL11	ENSG00000130935.10	0.207371365	5.23172152	6.619627797	0.017127257	0.050037874
P1	RELB	ENSG00000104856.14	0.281504562	3.360310306	6.618429532	0.017136122	0.050057082
P1	CUL5	ENSG00000166266.14	0.171090654	6.287128731	6.617755606	0.01714111	0.050064961
P1	ARNTL2	ENSG00000029153.15	0.247461974	3.509082123	6.616775849	0.017148365	0.050079457
P1	PIH1D1	ENSG00000104872.11	0.283256025	3.603686202	6.616148333	0.017153013	0.050086339
P1	IREB2	ENSG00000136381.13	0.16496447	6.560169558	6.61514154	0.017160473	0.050101429
