"clusterID"	"N"	"coord"	"gene.x"	"annotation"	"FDR"	"gene.y"	"ensemblID"	"chr"	"start"	"end"	"verdict"	"deltapsi"	"transcripts"	"Sample"
"1942"	"clu_5306_-"	9	"chr8:79919148-80030054"	"<i>MRPS28</i>"	"cryptic"	0.00522	"MRPS28"	"ENSG00000152234.16"	"chr8"	79919148	80002999	"annotated"	-0.018	"ENST00000276585.9+ENST00000518271.1+ENST00000519120.1+ENST00000519386.5+ENST00000520946.1+ENST00000521434.5+ENST00000522938.5"	"K562"
"1943"	"clu_535_+"	3	"chr1:45014836-45015337"	"<i>UROD</i>"	"annotated"	0.00378	"UROD"	"ENSG00000138668.19"	"chr1"	45014836	45015337	"annotated"	-0.018	"ENST00000246337.9+ENST00000472254.1+ENST00000491773.6+ENST00000494399.5+ENST00000636293.1+ENST00000636836.1+ENST00000651476.1+ENST00000652165.1+ENST00000652287.1+ENST00000652514.1"	"K562"
"1944"	"clu_7_-"	31	"chr1:495049-743286"	"<i>ENSG00000237094</i>"	"cryptic"	0.000604	"ENSG00000237094"	"ENSG00000206172.8"	"chr1"	736770	742631	"cryptic_unanchored"	-0.018	NA	"K562"
"1945"	"clu_1165_-"	10	"chr11:31433570-31509519"	"<i>IMMP1L</i>"	"annotated"	0.015	"IMMP1L"	"ENSG00000127603.32"	"chr11"	31469797	31473724	"annotated"	-0.019	"ENST00000530023.5+ENST00000531693.1+ENST00000648582.1"	"K562"
"1946"	"clu_1355_-"	5	"chr12:56643587-56645837"	"<i>ATP5F1B</i>"	"annotated"	0.00357	"ATP5F1B"	"ENSG00000254772.10"	"chr12"	56645353	56645837	"annotated"	-0.019	"ENST00000262030.8+ENST00000547808.5+ENST00000548647.1+ENST00000553007.2"	"K562"
"1947"	"clu_1472_+"	14	"chr12:53295639-53298049"	"<i>PFDN5</i>"	"cryptic"	0.00146	"PFDN5"	"ENSG00000123349.15"	"chr12"	53295639	53295839	"annotated"	-0.019	"ENST00000243040.10+ENST00000334478.9+ENST00000547228.1+ENST00000549759.2+ENST00000549995.1+ENST00000550069.2+ENST00000551018.5+ENST00000551223.5+ENST00000552341.5+ENST00000553171.2+ENST00000676468.1+ENST00000677184.1+ENST00000677199.1+ENST00000677712.1+ENST00000678256.1+ENST00000678284.1+ENST00000676632.1+ENST00000676940.1+ENST00000677982.1+ENST00000678985.1+ENST00000679196.1"	"K562"
"1948"	"clu_1662_-"	2	"chr14:24217223-24218133"	"<i>NEDD8</i>"	"annotated"	0.0181	"NEDD8"	"ENSG00000142937.12"	"chr14"	24217223	24218059	"annotated"	-0.019	"ENST00000396828.8"	"K562"
"1949"	"clu_282_-"	2	"chr1:154170465-154170649"	"<i>TPM3</i>"	"cryptic"	0.045	"TPM3"	"ENSG00000196776.17"	"chr1"	154170469	154170649	"annotated"	-0.019	"ENST00000271850.11+ENST00000302206.9+ENST00000312970.13+ENST00000323144.12+ENST00000328159.9+ENST00000330188.13+ENST00000341372.8+ENST00000341485.10+ENST00000368530.7+ENST00000368531.6+ENST00000368533.8+ENST00000368545.7+ENST00000469717.5+ENST00000504663.1+ENST00000509409.5+ENST00000509601.1+ENST00000513769.5+ENST00000651641.1+ENST00000651731.1+ENST00000651873.1"	"K562"
"1950"	"clu_3014_+"	5	"chr19:40619493-40623604"	"<i>LTBP4</i>"	"annotated"	0.0364	"LTBP4"	"ENSG00000143420.19"	"chr19"	40619493	40623604	"annotated"	-0.019	"ENST00000204005.13+ENST00000243562.13+ENST00000308370.11+ENST00000318809.11+ENST00000396819.8+ENST00000593463.5+ENST00000595118.5+ENST00000595665.1+ENST00000597816.5+ENST00000599724.5+ENST00000601032.5+ENST00000622107.4+ENST00000622457.1+ENST00000622565.4"	"K562"
"1951"	"clu_3686_-"	7	"chr21:25729801-25735487"	"<i>ATP5PF</i>"	"annotated"	6.09e-06	"ATP5PF"	"ENSG00000154723.13"	"chr21"	25729801	25734989	"annotated"	-0.019	"ENST00000400093.3+ENST00000400099.5"	"K562"
"1952"	"clu_918_-"	5	"chr10:73030370-73046925"	"<i>P4HA1</i>"	"cryptic"	0.0317	"P4HA1"	"ENSG00000204628.12"	"chr10"	73043957	73044981	"novel annotated pair"	-0.019	"."	"K562"
"1953"	"clu_1250_-"	7	"chr11:85959060-85981129"	"<i>PICALM</i>"	"annotated"	0.000261	"PICALM"	"ENSG00000100813.15"	"chr11"	85976682	85981129	"annotated"	-0.02	"ENST00000393346.8+ENST00000526033.5+ENST00000526961.5+ENST00000528398.5+ENST00000529760.5+ENST00000530542.1+ENST00000530692.5+ENST00000532317.5+ENST00000630913.2"	"K562"
"1954"	"clu_3056_+"	3	"chr19:49497562-49499522"	"<i>RPS11</i>"	"cryptic"	0.043	"RPS11"	"ENSG00000241973.11"	"chr19"	49498046	49499512	"annotated"	-0.02	"ENST00000270625.7+ENST00000594493.1+ENST00000599167.5+ENST00000599561.1+ENST00000600027.5+ENST00000601306.1+ENST00000602252.5"	"K562"
"1955"	"clu_4096_+"	3	"chr3:23807421-23887567"	"<i>UBE2E1</i>"	"annotated"	0.0337	"UBE2E1"	"ENSG00000010803.16"	"chr3"	23807421	23887567	"annotated"	-0.02	"ENST00000306627.8+ENST00000346855.7+ENST00000442670.5+ENST00000495141.5"	"K562"
"1956"	"clu_4299_-"	3	"chr4:1700070-1711874"	"<i>SLBP</i>"	"annotated"	0.0333	"SLBP"	"ENSG00000104872.11"	"chr4"	1700070	1711874	"annotated"	-0.02	"ENST00000480936.1+ENST00000483348.5+ENST00000488267.5+ENST00000489418.6"	"K562"
"1957"	"clu_4578_+"	3	"chr5:86618053-86619353"	"<i>COX7C</i>"	"cryptic"	0.00048	"COX7C"	"ENSG00000237094.12"	"chr5"	86618130	86619353	"annotated"	-0.02	"ENST00000247655.4+ENST00000509578.1+ENST00000515763.1"	"K562"
"1958"	"clu_506_+"	7	"chr1:40040783-40059337"	"<i>CAP1</i>"	"annotated"	0.0373	"CAP1"	"ENSG00000070610.14"	"chr1"	40041493	40059337	"annotated"	-0.02	"ENST00000424977.1+ENST00000427843.5"	"K562"
"1959"	"clu_5695_+"	5	"chr9:136670009-136671926"	"<i>EGFL7</i>"	"cryptic"	0.0128	"EGFL7"	"ENSG00000183891.6"	"chr9"	136670009	136670169	"annotated"	-0.02	"ENST00000308874.12+ENST00000371698.3+ENST00000371699.5+ENST00000406555.7+ENST00000492002.1"	"K562"
"1960"	"clu_7_-"	31	"chr1:495049-743286"	"<i>ENSG00000237094</i>"	"cryptic"	0.000604	"ENSG00000237094"	"ENSG00000237094.12"	"chr1"	495049	732017	"novel annotated pair"	-0.02	"."	"K562"
"1961"	"clu_10_-"	4	"chr1:501620-502862"	"<i>ENSG00000237094</i>"	"annotated"	0.0124	"ENSG00000237094"	"ENSG00000256269.11"	"chr1"	501620	502465	"annotated"	-0.021	"ENST00000440038.7+ENST00000641063.1+ENST00000641579.1+ENST00000641845.1+ENST00000641916.1"	"K562"
"1962"	"clu_2162_+"	4	"chr16:10387494-10428868"	"<i>ATF7IP2</i>"	"cryptic"	0.0438	"ATF7IP2"	"ENSG00000100288.20"	"chr16"	10387494	10419581	"novel annotated pair"	-0.021	"ENST00000562527.5"	"K562"
"1963"	"clu_2411_-"	2	"chr17:64500773-64502010"	"<i>DDX5</i>"	"annotated"	0.0344	"DDX5"	"ENSG00000116288.13"	"chr17"	64500773	64502010	"annotated"	-0.021	"ENST00000225792.10+ENST00000450599.7+ENST00000540698.6+ENST00000577922.6+ENST00000578758.5+ENST00000578804.5+ENST00000581693.5+ENST00000583212.2+ENST00000585111.2+ENST00000676785.1+ENST00000678814.1"	"K562"
"1964"	"clu_2499_+"	3	"chr17:16439029-16439327"	"<i>SNHG29</i>"	"annotated"	0.0448	"SNHG29"	"ENSG00000213551.7"	"chr17"	16439029	16439327	"annotated"	-0.021	"ENST00000487066.6+ENST00000584177.5+ENST00000663781.1"	"K562"
"1965"	"clu_3055_+"	8	"chr19:49496471-49497581"	"<i>RPS11</i>"	"cryptic"	0.00467	"RPS11"	"ENSG00000123136.15"	"chr19"	49497325	49497520	"annotated"	-0.021	"ENST00000270625.7+ENST00000594493.1+ENST00000596873.1+ENST00000600027.5+ENST00000601306.1"	"K562"
"1966"	"clu_4759_-"	2	"chr6:73518610-73518701"	"<i>EEF1A1</i>"	"cryptic"	0.00649	"EEF1A1"	"ENSG00000105968.19"	"chr6"	73518610	73518698	"annotated"	-0.021	"ENST00000309268.11+ENST00000316292.13+ENST00000331523.7+ENST00000356303.7+ENST00000455918.2+ENST00000488500.2+ENST00000490569.6+ENST00000491404.2+ENST00000495333.6+ENST00000610520.5+ENST00000615060.5+ENST00000676547.1+ENST00000676710.1+ENST00000677062.1+ENST00000677236.1+ENST00000678041.1+ENST00000678508.1+ENST00000678515.1+ENST00000678702.1+ENST00000678703.1+ENST00000679031.1"	"K562"
"1967"	"clu_506_+"	7	"chr1:40040783-40059337"	"<i>CAP1</i>"	"annotated"	0.0373	"CAP1"	"ENSG00000113387.12"	"chr1"	40040801	40059334	"annotated"	-0.021	"ENST00000372792.7+ENST00000372798.5+ENST00000414281.5"	"K562"
"1968"	"clu_5293_-"	3	"chr8:65605337-65613244"	"<i>ARMC1</i>"	"cryptic"	0.0289	"ARMC1"	"ENSG00000154814.14"	"chr8"	65605538	65613244	"annotated"	-0.021	"ENST00000276569.8+ENST00000518908.5"	"K562"
"1969"	"clu_5355_-"	10	"chr8:129352980-129574882"	"<i>CCDC26</i>"	"annotated"	0.0327	"CCDC26"	"ENSG00000010244.19"	"chr8"	129370377	129388045	"annotated"	-0.021	"ENST00000664936.1+ENST00000674599.1+ENST00000674656.1+ENST00000674750.1+ENST00000674863.1+ENST00000675072.1+ENST00000675109.1+ENST00000675316.1+ENST00000675527.1+ENST00000675532.1+ENST00000675589.1+ENST00000675948.1+ENST00000676030.1+ENST00000676060.1+ENST00000676099.1"	"K562"
"1970"	"clu_5866_-"	4	"chrX:72273966-72275053"	"<i>RPS4X</i>"	"cryptic"	0.0384	"RPS4X"	"ENSG00000099901.17"	"chrX"	72273972	72275053	"annotated"	-0.021	"ENST00000316084.10"	"K562"
"1971"	"clu_1355_-"	5	"chr12:56643587-56645837"	"<i>ATP5F1B</i>"	"annotated"	0.00357	"ATP5F1B"	"ENSG00000119689.15"	"chr12"	56644955	56645171	"annotated"	-0.022	"ENST00000262030.8+ENST00000548647.1"	"K562"
"1972"	"clu_201_-"	6	"chr1:63441103-63453918"	"<i>ITGB3BP</i>"	"annotated"	0.0153	"ITGB3BP"	"ENSG00000012660.14"	"chr1"	63446856	63453918	"annotated"	-0.022	"ENST00000271002.15+ENST00000371092.7+ENST00000463803.5+ENST00000489099.5"	"K562"
"1973"	"clu_2223_+"	5	"chr16:30064505-30067234"	"<i>ALDOA</i>"	"annotated"	0.0206	"ALDOA"	"ENSG00000188185.13"	"chr16"	30065927	30067234	"annotated"	-0.022	"ENST00000395240.7+ENST00000563987.5+ENST00000566012.1+ENST00000566846.5+ENST00000567555.1+ENST00000569545.5+ENST00000569798.5+ENST00000642816.3+ENST00000643777.4"	"K562"
"1974"	"clu_3461_+"	4	"chr2:231707228-231711348"	"<i>PTMA</i>"	"annotated"	0.0267	"PTMA"	"ENSG00000103194.16"	"chr2"	231710676	231711348	"annotated"	-0.022	"ENST00000440384.1"	"K562"
"1975"	"clu_360_-"	7	"chr1:228108318-228109261"	"<i>MRPL55</i>"	"annotated"	0.0151	"MRPL55"	"ENSG00000116001.17"	"chr1"	228108321	228108955	"annotated"	-0.022	"ENST00000366740.5+ENST00000366742.5+ENST00000391867.8"	"K562"
"1976"	"clu_3993_-"	7	"chr3:108047292-108057477"	"<i>CD47</i>"	"cryptic"	0.046	"CD47"	"ENSG00000127314.18"	"chr3"	108047292	108050578	"annotated"	-0.022	"ENST00000361309.6+ENST00000398258.7+ENST00000517766.5"	"K562"
"1977"	"clu_4332_-"	7	"chr4:82894847-82900077"	"<i>THAP9-AS1</i>"	"annotated"	0.0223	"THAP9-AS1"	"ENSG00000050426.16"	"chr4"	82894847	82900077	"annotated"	-0.022	"ENST00000504520.6+ENST00000511271.5+ENST00000512932.5"	"K562"
"1978"	"clu_4853_+"	5	"chr6:26124633-26138054"	"<i>H2AC6</i>"	"cryptic"	0.00579	"H2AC6"	"ENSG00000063241.8"	"chr6"	26124749	26127698	"cryptic_threeprime"	-0.022	"."	"K562"
"1979"	"clu_540_+"	3	"chr1:45606591-45613169"	"<i>NASP</i>"	"annotated"	0.00322	"NASP"	"ENSG00000172965.17"	"chr1"	45608337	45613169	"annotated"	-0.022	"ENST00000350030.8+ENST00000453748.5+ENST00000537798.5"	"K562"
"1980"	"clu_87_-"	10	"chr1:20779908-20787195"	"<i>HP1BP3</i>"	"cryptic"	0.00116	"HP1BP3"	"ENSG00000106462.12"	"chr1"	20779908	20780350	"cryptic_threeprime"	-0.022	"."	"K562"
"1981"	"clu_1250_-"	7	"chr11:85959060-85981129"	"<i>PICALM</i>"	"annotated"	0.000261	"PICALM"	"ENSG00000088448.14"	"chr11"	85959060	85981129	"annotated"	-0.023	"ENST00000356360.9+ENST00000393346.8+ENST00000526033.5+ENST00000526961.5+ENST00000528398.5+ENST00000529016.5+ENST00000529760.5+ENST00000530692.5+ENST00000532317.5+ENST00000532603.5+ENST00000630913.2"	"K562"
"1982"	"clu_1353_-"	6	"chr12:56638423-56642458"	"<i>ATP5F1B</i>"	"cryptic"	0.0146	"ATP5F1B"	"ENSG00000148950.11"	"chr12"	56640192	56642458	"annotated"	-0.023	"ENST00000262030.8+ENST00000547250.5+ENST00000550162.1+ENST00000551570.5+ENST00000552959.5+ENST00000553007.2"	"K562"
"1983"	"clu_2666_-"	2	"chr18:46091851-46095053"	"<i>ATP5F1A</i>"	"annotated"	0.00536	"ATP5F1A"	"ENSG00000147274.14"	"chr18"	46091851	46095053	"annotated"	-0.023	"ENST00000282050.6+ENST00000398752.11+ENST00000585650.1+ENST00000586592.5+ENST00000589869.5+ENST00000590324.5+ENST00000590406.5+ENST00000590448.5+ENST00000590665.5+ENST00000591981.5+ENST00000592364.5+ENST00000592989.1+ENST00000593152.6"	"K562"
"1984"	"clu_4330_-"	6	"chr4:82857764-82863318"	"<i>SEC31A</i>"	"annotated"	0.0138	"SEC31A"	"ENSG00000228300.14"	"chr4"	82857764	82862534	"annotated"	-0.023	"ENST00000311785.11+ENST00000355196.6+ENST00000395310.7+ENST00000443462.6+ENST00000448323.5+ENST00000505472.5+ENST00000507828.5+ENST00000508479.5+ENST00000508502.5+ENST00000509142.5"	"K562"
"1985"	"clu_4843_+"	9	"chr6:10723241-10730615"	"<i>TMEM14C</i>"	"cryptic"	0.0247	"TMEM14C"	"ENSG00000127603.32"	"chr6"	10723241	10724570	"annotated"	-0.023	"ENST00000229563.6"	"K562"
"1986"	"clu_5765_+"	5	"chrX:73994961-74004270"	"<i>JPX</i>"	"annotated"	0.0331	"JPX"	"ENSG00000062194.16"	"chrX"	73994961	73998768	"annotated"	-0.023	"ENST00000602294.6+ENST00000602546.5+ENST00000602920.6+ENST00000602938.6+ENST00000653069.1+ENST00000653808.1+ENST00000654137.1+ENST00000654196.1+ENST00000654374.1+ENST00000655090.1+ENST00000655879.1+ENST00000655994.1+ENST00000658649.1+ENST00000659023.1+ENST00000659254.1+ENST00000659373.1+ENST00000659622.1+ENST00000659852.1+ENST00000660546.1+ENST00000660856.1+ENST00000662239.1+ENST00000662543.1+ENST00000663027.1+ENST00000663470.1+ENST00000664637.1+ENST00000666059.1+ENST00000667057.1+ENST00000667294.1+ENST00000667886.1+ENST00000670408.1+ENST00000670506.1+ENST00000670994.1+ENST00000671021.1+ENST00000671476.1+ENST00000671518.1"	"K562"
"1987"	"clu_1155_-"	15	"chr11:12930510-12989456"	"<i>LINC00958</i>"	"cryptic"	2.59e-06	"LINC00958"	"ENSG00000251381.8"	"chr11"	12962763	12989456	"novel annotated pair"	-0.024	"ENST00000527945.2+ENST00000658243.1"	"K562"
"1988"	"clu_2687_+"	6	"chr18:8914375-8950905"	"<i>ENSG00000287719</i>"	"cryptic"	0.00696	"ENSG00000287719"	"ENSG00000258289.10"	"chr18"	8914375	8950905	"cryptic_threeprime"	-0.024	"."	"K562"
"1989"	"clu_2963_+"	7	"chr19:18571887-18573293"	"<i>UBA52</i>"	"cryptic"	0.0228	"UBA52"	"ENSG00000111843.14"	"chr19"	18572145	18573293	"annotated"	-0.024	"ENST00000595158.5"	"K562"
"1990"	"clu_3075_+"	7	"chr19:54459408-54459633"	"<i>.</i>"	"annotated"	0.0198	"."	"ENSG00000137411.19"	"chr19"	54459520	54459577	"unknown_strand"	-0.024	NA	"K562"
"1991"	"clu_4043_-"	2	"chr3:196055301-196058284"	"<i>TFRC</i>"	"cryptic"	0.00524	"TFRC"	"ENSG00000113649.13"	"chr3"	196055301	196058284	"annotated"	-0.024	"ENST00000360110.9+ENST00000392396.7+ENST00000420415.5+ENST00000475593.5+ENST00000483983.5"	"K562"
"1992"	"clu_4523_+"	5	"chr5:32591617-32601005"	"<i>SUB1</i>"	"cryptic"	0.0327	"SUB1"	"ENSG00000170142.12"	"chr5"	32599069	32601005	"annotated"	-0.024	"ENST00000265073.9+ENST00000502453.1+ENST00000502897.5+ENST00000504789.5+ENST00000506237.5+ENST00000511175.1+ENST00000511615.5+ENST00000512913.5+ENST00000513013.5+ENST00000515355.5"	"K562"
"1993"	"clu_5343_-"	9	"chr8:108229195-108248613"	"<i>EIF3E</i>"	"cryptic"	0.024	"EIF3E"	"ENSG00000235335.3"	"chr8"	108229195	108234998	"annotated"	-0.024	"ENST00000220849.10+ENST00000518100.6+ENST00000518345.2+ENST00000519030.6+ENST00000521297.2+ENST00000521614.6+ENST00000522445.6+ENST00000523674.2+ENST00000676530.1+ENST00000676642.1+ENST00000676663.1+ENST00000676698.1+ENST00000676706.1+ENST00000676892.1+ENST00000676931.1+ENST00000677040.1+ENST00000677084.1+ENST00000677272.1+ENST00000677409.1+ENST00000677501.1+ENST00000677590.1+ENST00000677614.1+ENST00000677674.1+ENST00000677746.1+ENST00000677965.1+ENST00000678004.1+ENST00000678023.1+ENST00000678042.1+ENST00000678243.1+ENST00000678334.1+ENST00000678773.1+ENST00000678797.1+ENST00000678881.1+ENST00000678901.1+ENST00000678937.1+ENST00000679198.1"	"K562"
"1994"	"clu_652_+"	4	"chr1:154974804-154977987"	"<i>CKS1B</i>"	"cryptic"	0.0187	"CKS1B"	"ENSG00000185838.14"	"chr1"	154976168	154977987	"cryptic_fiveprime"	-0.024	"."	"K562"
"1995"	"clu_746_+"	5	"chr1:228147699-228148665"	"<i>GUK1</i>"	"cryptic"	0.00842	"GUK1"	"ENSG00000153187.20"	"chr1"	228148456	228148665	"annotated"	-0.024	"ENST00000312726.9+ENST00000366716.1+ENST00000366718.5+ENST00000366721.5+ENST00000366723.5+ENST00000366726.5+ENST00000366730.5+ENST00000391865.7+ENST00000453943.5+ENST00000464858.5+ENST00000471270.5+ENST00000477206.5+ENST00000480056.2+ENST00000492871.5+ENST00000493138.5"	"K562"
"1996"	"clu_9_-"	18	"chr1:729804-740129"	"<i>ENSG00000230021</i>"	"cryptic"	0.0103	"ENSG00000230021"	"ENSG00000166140.17"	"chr1"	733213	740129	"cryptic_unanchored"	-0.024	NA	"K562"
"1997"	"clu_126_-"	8	"chr1:31908960-31918970"	"<i>PTP4A2</i>"	"cryptic"	0.001	"PTP4A2"	"ENSG00000127483.19"	"chr1"	31908960	31910038	"annotated"	-0.025	"ENST00000457805.6+ENST00000470404.5+ENST00000489313.1+ENST00000532001.6+ENST00000602725.5+ENST00000647444.2+ENST00000649841.1"	"K562"
"1998"	"clu_1773_+"	4	"chr15:22561789-22562949"	"<i>HERC2P2</i>"	"cryptic"	0.0105	"HERC2P2"	"ENSG00000122566.22"	"chr15"	22561789	22561908	"cryptic_threeprime"	-0.025	"."	"K562"
"1999"	"clu_2005_-"	3	"chr16:4821453-4822875"	"<i>GLYR1</i>"	"annotated"	0.0273	"GLYR1"	"ENSG00000149554.14"	"chr16"	4821597	4822875	"annotated"	-0.025	"ENST00000321919.14+ENST00000436648.9+ENST00000587297.1+ENST00000588732.5+ENST00000591451.5"	"K562"
"2000"	"clu_2501_+"	5	"chr17:16440253-16441368"	"<i>SNHG29</i>"	"cryptic"	1.77e-06	"SNHG29"	"ENSG00000175061.19"	"chr17"	16441130	16441368	"annotated"	-0.025	"ENST00000475947.7+ENST00000475953.6+ENST00000477249.7+ENST00000480811.6+ENST00000481027.5+ENST00000481898.6+ENST00000484836.2+ENST00000487066.6+ENST00000497774.6+ENST00000582911.6+ENST00000584926.5+ENST00000655540.1+ENST00000658116.2+ENST00000659884.1+ENST00000660020.1+ENST00000660462.1+ENST00000662869.1+ENST00000663781.1+ENST00000667979.2+ENST00000685971.1+ENST00000692720.1"	"K562"
"2001"	"clu_326_-"	13	"chr1:173864304-173865510"	"<i>GAS5</i>"	"cryptic"	2.06e-08	"GAS5"	"ENSG00000234741.9"	"chr1"	173864704	173865229	"annotated"	-0.025	"ENST00000412059.6+ENST00000414075.6+ENST00000416952.6+ENST00000422008.6+ENST00000422183.6+ENST00000430245.5+ENST00000436285.6+ENST00000436656.6+ENST00000448718.6+ENST00000449589.6+ENST00000450589.6+ENST00000451607.5+ENST00000452197.5+ENST00000454068.5+ENST00000456812.7+ENST00000458220.2+ENST00000685008.1+ENST00000685039.1+ENST00000685159.1+ENST00000685758.1+ENST00000686460.1+ENST00000686878.1+ENST00000686918.1+ENST00000686995.1+ENST00000687063.1+ENST00000687189.1+ENST00000687409.1+ENST00000687710.1+ENST00000688557.1+ENST00000688573.1+ENST00000688895.1+ENST00000689238.1+ENST00000689469.1+ENST00000689860.1+ENST00000689895.1+ENST00000689958.1+ENST00000690172.1+ENST00000690228.1+ENST00000690349.1+ENST00000691056.1+ENST00000691137.1+ENST00000691213.1+ENST00000692671.1+ENST00000692994.1+ENST00000693030.1+ENST00000693348.1+ENST00000693450.1+ENST00000693521.1"	"K562"
"2002"	"clu_3587_-"	7	"chr20:38421098-38426419"	"<i>SNHG17</i>"	"annotated"	0.0276	"SNHG17"	"ENSG00000157916.20"	"chr20"	38422241	38425935	"annotated"	-0.025	"ENST00000413755.5+ENST00000414142.5+ENST00000653753.1+ENST00000654008.2+ENST00000654092.1+ENST00000657868.1+ENST00000658455.1+ENST00000658488.2+ENST00000659255.1+ENST00000659753.1+ENST00000660064.1+ENST00000661252.1+ENST00000662568.1+ENST00000664626.1+ENST00000665003.1+ENST00000665440.1+ENST00000665735.1+ENST00000666331.1+ENST00000666419.1+ENST00000666806.1+ENST00000667412.1+ENST00000667835.1+ENST00000668042.1+ENST00000668054.2+ENST00000668482.2+ENST00000669137.1+ENST00000670051.1+ENST00000670958.1+ENST00000671249.1+ENST00000687532.1+ENST00000688133.1+ENST00000688336.1+ENST00000690361.1+ENST00000692262.1+ENST00000693250.1"	"K562"
"2003"	"clu_3837_+"	9	"chr22:20116395-20119013"	"<i>RANBP1</i>"	"cryptic"	0.0404	"RANBP1"	"ENSG00000280145.3"	"chr22"	20116430	20119013	"annotated"	-0.025	"ENST00000430524.6+ENST00000432879.5"	"K562"
"2004"	"clu_3887_+"	2	"chr22:40951476-40953555"	"<i>RBX1</i>"	"cryptic"	0.0264	"RBX1"	"ENSG00000100075.10"	"chr22"	40951476	40953555	"annotated"	-0.025	"ENST00000216225.9+ENST00000476110.1"	"K562"
"2005"	"clu_5356_-"	6	"chr8:129862334-129903312"	"<i>CYRIB</i>"	"annotated"	0.00678	"CYRIB"	"ENSG00000287719.1"	"chr8"	129871496	129903312	"annotated"	-0.025	"ENST00000401979.6+ENST00000517654.5+ENST00000517672.5+ENST00000518167.5+ENST00000518283.5+ENST00000519020.5+ENST00000519070.5+ENST00000519110.5+ENST00000519142.5+ENST00000519540.5+ENST00000519824.6+ENST00000520204.5+ENST00000520254.5+ENST00000521223.5+ENST00000522361.1+ENST00000522702.5+ENST00000522746.5+ENST00000522941.5+ENST00000523288.5+ENST00000523509.5+ENST00000523993.5"	"K562"
"2006"	"clu_5379_-"	5	"chr8:144790455-144791277"	"<i>RPL8</i>"	"cryptic"	0.00309	"RPL8"	"ENSG00000164587.13"	"chr8"	144790470	144791277	"annotated"	-0.025	"ENST00000262584.7+ENST00000394920.6+ENST00000526668.5+ENST00000527914.5+ENST00000528296.5+ENST00000528957.6+ENST00000529163.5+ENST00000529920.5+ENST00000531975.5+ENST00000532702.1+ENST00000533397.5"	"K562"
"2007"	"clu_746_+"	5	"chr1:228147699-228148665"	"<i>GUK1</i>"	"cryptic"	0.00842	"GUK1"	"ENSG00000182552.15"	"chr1"	228147699	228148371	"annotated"	-0.025	"ENST00000312726.9+ENST00000366716.1+ENST00000366718.5+ENST00000366721.5+ENST00000366722.5+ENST00000366723.5+ENST00000366726.5+ENST00000366730.5+ENST00000391865.7+ENST00000412265.5+ENST00000453943.5+ENST00000464858.5+ENST00000465025.1+ENST00000477206.5+ENST00000492871.5+ENST00000493138.5+ENST00000495999.5+ENST00000498115.1"	"K562"
"2008"	"clu_781_+"	5	"chr10:21681376-21713772"	"<i>MLLT10</i>"	"annotated"	0.018	"MLLT10"	"ENSG00000147454.14"	"chr10"	21688538	21713772	"annotated"	-0.025	"ENST00000377072.8+ENST00000651298.1"	"K562"
"2009"	"clu_87_-"	10	"chr1:20779908-20787195"	"<i>HP1BP3</i>"	"cryptic"	0.00116	"HP1BP3"	"ENSG00000106462.12"	"chr1"	20779911	20780345	"annotated"	-0.025	"ENST00000312239.10+ENST00000375000.5+ENST00000414993.1+ENST00000417710.5+ENST00000438032.6+ENST00000487117.1"	"K562"
"2010"	"clu_1080_+"	9	"chr11:75401733-75404760"	"<i>RPS3</i>"	"cryptic"	0.0201	"RPS3"	"ENSG00000164163.11"	"chr11"	75402446	75404020	"annotated"	-0.026	"ENST00000278572.10+ENST00000422465.6+ENST00000524851.5+ENST00000526608.5+ENST00000527273.5+ENST00000527446.5+ENST00000528847.1+ENST00000529173.5+ENST00000530721.5+ENST00000531188.6"	"K562"
"2011"	"clu_1465_+"	6	"chr12:51049185-51056350"	"<i>LETMD1</i>"	"annotated"	0.023	"LETMD1"	"ENSG00000049245.13"	"chr12"	51049185	51056350	"annotated"	-0.026	"ENST00000262055.9+ENST00000380135.7+ENST00000418425.6+ENST00000547008.5+ENST00000547029.5+ENST00000547256.1+ENST00000547318.5+ENST00000547555.5+ENST00000547660.5+ENST00000548209.5+ENST00000548251.5+ENST00000548516.5+ENST00000549340.5+ENST00000550100.5+ENST00000550442.5+ENST00000550446.5+ENST00000550715.5+ENST00000550814.5+ENST00000550929.5+ENST00000551477.5+ENST00000552645.5"	"K562"
"2012"	"clu_2681_-"	5	"chr18:79973856-79988240"	"<i>TXNL4A</i>"	"annotated"	0.044	"TXNL4A"	"ENSG00000083312.19"	"chr18"	79973856	79977598	"annotated"	-0.026	"ENST00000269601.10+ENST00000355491.5+ENST00000585474.5+ENST00000585769.5+ENST00000592837.1+ENST00000592957.1"	"K562"
"2013"	"clu_2693_+"	3	"chr18:12311053-12329146"	"<i>TUBB6</i>"	"annotated"	0.0279	"TUBB6"	"ENSG00000130706.13"	"chr18"	12311053	12324809	"annotated"	-0.026	"ENST00000586653.5+ENST00000586810.5"	"K562"
"2014"	"clu_4046_-"	2	"chr3:196072152-196073930"	"<i>TFRC</i>"	"cryptic"	0.00559	"TFRC"	"ENSG00000137074.20"	"chr3"	196072152	196073930	"annotated"	-0.026	"ENST00000360110.9+ENST00000392396.7+ENST00000420415.5"	"K562"
